id,title,body,labels,milestone
E1-F3-I3,E1-F3-I3: Implement custom fields storage layer,"### Summary
Deliver Implement custom fields storage layer for Ticket fields (subject, status, priority, department, category, assignee, tags, custom fields) to meet the documented requirements.

### Scope
- [ ] Polymorphic or JSON column stores arbitrary custom fields with type metadata
- [ ] Admin API allows registering new custom fields with validation rules
- [ ] Custom field values retrievable via API responses and portal views
- [ ] Dependencies: E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P1,area:Ticketing",Week 2
E1-F4-I1,E1-F4-I1: Design workflow configuration model,"### Summary
Deliver Design workflow configuration model for Configurable custom statuses & workflows to meet the documented requirements.

### Scope
- [ ] Workflow state machine documented with allowed transitions and guard hooks
- [ ] Data model for custom statuses and transitions defined and peer reviewed
- [ ] Configuration storage strategy (DB vs. config files) approved
- [ ] Dependencies: E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Design,priority:P0,area:Ticketing",Week 2
E1-F4-I2,E1-F4-I2: Build admin UI for status/workflow management,"### Summary
Deliver Build admin UI for status/workflow management for Configurable custom statuses & workflows to meet the documented requirements.

### Scope
- [ ] Filament admin forms create/update/delete statuses and transition rules per tenant
- [ ] UI enforces unique status names and valid transition targets
- [ ] Success/error messages localized and follow design system
- [ ] Dependencies: E1-F4-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Frontend,priority:P1,area:Ticketing",Week 3
E1-F4-I3,E1-F4-I3: Enforce workflow transitions in ticket service,"### Summary
Deliver Enforce workflow transitions in ticket service for Configurable custom statuses & workflows to meet the documented requirements.

### Scope
- [ ] Service layer prevents illegal status changes and logs transition events
- [ ] Automated tests cover allowed/denied transitions and custom workflow hooks
- [ ] SLA timers triggered on entry to configured statuses
- [ ] Dependencies: E1-F4-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 3
E1-F5-I1,E1-F5-I1: Extend ticket messages schema for visibility,"### Summary
Deliver Extend ticket messages schema for visibility for Internal notes vs. public replies to meet the documented requirements.

### Scope
- [ ] Messages table differentiates internal notes and public replies with visibility flag and author role
- [ ] Migration preserves existing data with default visibility of public
- [ ] Repository filters exclude internal notes from customer portal queries
- [ ] Dependencies: E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 2
E1-F5-I2,E1-F5-I2: Implement agent UI toggle for note visibility,"### Summary
Deliver Implement agent UI toggle for note visibility for Internal notes vs. public replies to meet the documented requirements.

### Scope
- [ ] Agent composer provides explicit toggle between internal note and public reply
- [ ] UI clearly labels internal notes and prevents accidental public posting
- [ ] Front-end tests cover toggle state persistence on draft replies
- [ ] Dependencies: E1-F5-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Frontend,priority:P1,area:Ticketing",Week 3
E1-F5-I3,E1-F5-I3: Scope notifications by message visibility,"### Summary
Deliver Scope notifications by message visibility for Internal notes vs. public replies to meet the documented requirements.

### Scope
- [ ] Notification dispatch excludes internal notes from requester emails
- [ ] Audit log records visibility for each message event
- [ ] Integration test verifies watchers receive only permitted updates
- [ ] Dependencies: E1-F5-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P1,area:Ticketing",Week 3
E1-F6-I1,E1-F6-I1: Model ticket relationship metadata,"### Summary
Deliver Model ticket relationship metadata for Ticket merge, split, and link/duplicate handling to meet the documented requirements.

### Scope
- [ ] Schema introduces linkage table capturing merge, split, and duplicate relationships with audit columns
- [ ] API representation exposes linked ticket references and relation type
- [ ] Data integrity rules prevent circular merges
- [ ] Dependencies: E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 2
E1-F6-I2,E1-F6-I2: Implement ticket merge service workflow,"### Summary
Deliver Implement ticket merge service workflow for Ticket merge, split, and link/duplicate handling to meet the documented requirements.

### Scope
- [ ] Service merges conversations, tags, and assignee history into target ticket with transaction safety
- [ ] Notifications emitted to involved agents describing merge outcome
- [ ] Tests cover merge success and invalid merge attempts
- [ ] Dependencies: E1-F6-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 3
E1-F6-I3,E1-F6-I3: Implement ticket split operation,"### Summary
Deliver Implement ticket split operation for Ticket merge, split, and link/duplicate handling to meet the documented requirements.

### Scope
- [ ] Split command clones ticket core data and transfers selected messages to new ticket
- [ ] Original ticket retains reference to split child with audit entries
- [ ] Validation prevents splitting when criteria not met (e.g., insufficient messages)
- [ ] Dependencies: E1-F6-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P1,area:Ticketing",Week 3
E1-F6-I4,E1-F6-I4: Provide UI for linking and duplicate management,"### Summary
Deliver Provide UI for linking and duplicate management for Ticket merge, split, and link/duplicate handling to meet the documented requirements.

### Scope
- [ ] Agent console surfaces linked ticket list with relation type badges
- [ ] UI supports unlinking duplicates with confirmation prompts
- [ ] Activity log entries generated when links are created or removed
- [ ] Dependencies: E1-F6-I2, E1-F6-I3

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Frontend,priority:P1,area:Ticketing",Week 4
E1-F7-I1,E1-F7-I1: Build bulk selection and action UI,"### Summary
Deliver Build bulk selection and action UI for Bulk ticket actions (assign, close, tag, SLA updates) to meet the documented requirements.

### Scope
- [ ] Ticket list allows multi-select with persistent selection state across pagination
- [ ] Bulk action drawer exposes assign, close, tag, and SLA update options
- [ ] Accessibility review confirms keyboard navigation for selection/actions
- [ ] Dependencies: E1-F3-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Frontend,priority:P1,area:Ticketing",Week 3
E1-F7-I2,E1-F7-I2: Implement bulk action job handlers,"### Summary
Deliver Implement bulk action job handlers for Bulk ticket actions (assign, close, tag, SLA updates) to meet the documented requirements.

### Scope
- [ ] Queue jobs process bulk assignments, closures, tags, and SLA rule recalculations with progress tracking
- [ ] Failure handling rolls back partial updates and records error context
- [ ] Metrics emitted for bulk job throughput and failures
- [ ] Dependencies: E1-F7-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 3
E1-F7-I3,E1-F7-I3: Support SLA adjustments in bulk updates,"### Summary
Deliver Support SLA adjustments in bulk updates for Bulk ticket actions (assign, close, tag, SLA updates) to meet the documented requirements.

### Scope
- [ ] Bulk SLA updates recalculate timers respecting workflow status rules
- [ ] Confirmation summary displays before execution with SLA impact preview
- [ ] Automated tests ensure SLA changes apply per tenant configuration
- [ ] Dependencies: E1-F7-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P1,area:Ticketing",Week 4
E1-F8-I1,E1-F8-I1: Configure Echo broadcasting stack,"### Summary
Deliver Configure Echo broadcasting stack for Real-time updates via Echo (Pusher-compatible) to meet the documented requirements.

### Scope
- [ ] Broadcasting config supports Pusher-compatible drivers with environment toggles
- [ ] Auth endpoints secured for private and presence channels with tenant scoping
- [ ] Connection health monitoring documented for Horizon metrics
- [ ] Dependencies: None

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:DevOps,priority:P0,area:Ticketing",Week 2
E1-F8-I2,E1-F8-I2: Broadcast ticket lifecycle events,"### Summary
Deliver Broadcast ticket lifecycle events for Real-time updates via Echo (Pusher-compatible) to meet the documented requirements.

### Scope
- [ ] Events emitted for ticket creation, updates, merges, and assignments with payload normalization
- [ ] Listeners queue broadcasts without blocking core request cycle
- [ ] Tests verify event payloads contain tenant and visibility data
- [ ] Dependencies: E1-F8-I1, E1-F4-I3

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 3
E1-F8-I3,E1-F8-I3: Implement real-time agent console subscriptions,"### Summary
Deliver Implement real-time agent console subscriptions for Real-time updates via Echo (Pusher-compatible) to meet the documented requirements.

### Scope
- [ ] Agent UI subscribes to relevant channels and updates ticket lists and detail views in real time
- [ ] Offline/reconnect states handled gracefully with toast notifications
- [ ] Performance budget met (<200ms UI update after event received)
- [ ] Dependencies: E1-F8-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Frontend,priority:P1,area:Ticketing",Week 4
E2-F1-I1,E2-F1-I1: Define contact and company schema,"### Summary
Deliver Define contact and company schema for Contact directory (companies + individuals) to meet the documented requirements.

### Scope
- [ ] Data model captures companies, individuals, primary contacts, and tenant associations
- [ ] Migration scripts prepared with indexes for email, domain, and external IDs
- [ ] Documentation outlines lifecycle hooks for syncing contacts from tickets
- [ ] Dependencies: None

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Design,priority:P0,area:Contacts",Week 1
E2-F1-I2,E2-F1-I2: Build admin CRUD for contacts and companies,"### Summary
Deliver Build admin CRUD for contacts and companies for Contact directory (companies + individuals) to meet the documented requirements.

### Scope
- [ ] Filament admin pages support create/edit/search with company linkage and tags
- [ ] Validation ensures unique email per tenant and required GDPR consent flags
- [ ] Feature tests cover create/update/delete paths
- [ ] Dependencies: E2-F1-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Frontend,priority:P0,area:Contacts",Week 2
E2-F1-I3,E2-F1-I3: Expose contact directory in customer portal,"### Summary
Deliver Expose contact directory in customer portal for Contact directory (companies + individuals) to meet the documented requirements.

### Scope
- [ ] Portal shows requester’s company roster with search and filtering
- [ ] Access restricted to authenticated users scoped to their organization
- [ ] UI displays ticket counts and last activity for each contact
- [ ] Dependencies: E2-F1-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Frontend,priority:P1,area:Contacts",Week 3
E2-F2-I1,E2-F2-I1: Seed core user roles,"### Summary
Deliver Seed core user roles for User roles – Admin, Agent, Viewer to meet the documented requirements.

### Scope
- [ ] Database seeds create Admin, Agent, and Viewer roles per tenant
- [ ] Role descriptions documented with high-level responsibilities
- [ ] Migration script idempotent to avoid duplicate role entries
- [ ] Dependencies: None

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Backend,priority:P0,area:Contacts",Week 1
E2-F2-I2,E2-F2-I2: Configure onboarding role assignment,"### Summary
Deliver Configure onboarding role assignment for User roles – Admin, Agent, Viewer to meet the documented requirements.

### Scope
- [ ] User registration/onboarding flow assigns default roles based on invitation type
- [ ] Admins can adjust roles via Filament UI with audit entry
- [ ] Tests ensure unauthorized role elevation attempts are blocked
- [ ] Dependencies: E2-F2-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Backend,priority:P1,area:Contacts",Week 2
E2-F3-I1,E2-F3-I1: Integrate Spatie permissions package,"### Summary
Deliver Integrate Spatie permissions package for RBAC via Spatie permissions to meet the documented requirements.

### Scope
- [ ] Package installed and configured with cache store and guard settings per tenant
- [ ] Permission syncing respects queued jobs and avoids N+1 queries
- [ ] Documentation added for artisan commands to manage roles/permissions
- [ ] Dependencies: E2-F2-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Backend,priority:P0,area:Contacts",Week 2
E2-F3-I2,E2-F3-I2: Define permission matrix for core modules,"### Summary
Deliver Define permission matrix for core modules for RBAC via Spatie permissions to meet the documented requirements.

### Scope
- [ ] Matrix lists CRUD and workflow permissions for tickets, contacts, knowledge base, and reports per role
- [ ] Approval recorded from security and compliance stakeholders
- [ ] Permissions seeded with translation keys for UI display
- [ ] Dependencies: E2-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Design,priority:P1,area:Contacts",Week 2
E2-F3-I3,E2-F3-I3: Enforce RBAC middleware across portals,"### Summary
Deliver Enforce RBAC middleware across portals for RBAC via Spatie permissions to meet the documented requirements.

### Scope
- [ ] Middleware gates admin and customer routes using Spatie abilities with tenant awareness
- [ ] Unauthorized access returns standardized JSON and view responses
- [ ] Automated tests verify role-based access for representative endpoints
- [ ] Dependencies: E2-F3-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Backend,priority:P0,area:Contacts",Week 3
E2-F4-I1,E2-F4-I1: Model teams and membership relations,"### Summary
Deliver Model teams and membership relations for Teams & team assignments to meet the documented requirements.

### Scope
- [ ] Schema captures teams, memberships, default queues, and tenant ownership
- [ ] Pivot table enforces unique user-team pairs with role metadata
- [ ] Seeder creates sample tiered teams for testing
- [ ] Dependencies: E2-F2-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Backend,priority:P0,area:Contacts",Week 2
E2-F4-I2,E2-F4-I2: Build team assignment UI for tickets,"### Summary
Deliver Build team assignment UI for tickets for Teams & team assignments to meet the documented requirements.

### Scope
- [ ] Agent console provides dropdown to assign tickets to teams with search
- [ ] Assignment updates trigger audit log entries and notifications
- [ ] Validation ensures user belongs to assigned team before self-assignment
- [ ] Dependencies: E2-F4-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E2,type:Frontend,priority:P1,area:Contacts",Week 3
